SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1,0,0,10,0.8972136,1,0.1
22,1,0,1,10,0.90566997,1,0.1
22,1,0,2,10,0.92805878,1,0.1
22,1,0,3,10,0.95605652,1,0.1
22,1,0,4,10,0.98035893,1,0.1
22,1,0,5,10,0.99500695,1,0.1
22,1,0,6,10,0.99963799,1,0.1
22,1,0,7,10,0.99826521,1,0.1
22,1,0,8,10,0.99587325,1,0.1
22,1,0,9,10,0.99543039,1,0.1
22,1,0,10,10,0.99702235,1,0.1
22,1,0,11,10,0.99901488,1,0.1
22,1,0,12,10,0.99991836,1,0.1
22,5,1,0,10,0.9389132640196938,0.9560012832553746,0.1
22,5,1,1,10,0.9474746759203534,0.9558455661842592,0.1
22,5,1,2,10,0.9716881012667327,0.9549655687117206,0.1
22,5,1,3,10,0.9687769956892455,0.9857561986241005,0.1
22,5,1,4,10,0.9898317834154723,0.9896076279171924,0.1
22,5,1,5,10,0.9981187095051238,0.9959153730051116,0.1
22,5,1,6,10,0.9998471371361092,0.9989048791480641,0.1
22,5,1,7,10,0.9991080147117657,0.9984989518656522,0.1
22,5,1,8,10,0.9979025468651042,0.9970707945767345,0.1
22,5,2,0,10,0.9783763232166323,0.916773321588715,0.1
22,5,2,1,10,0.9734887828953378,0.9293884098300196,0.1
22,5,2,2,10,0.9883132459584849,0.9378799370106345,0.1
22,5,2,3,10,0.9826992326165638,0.972082388244142,0.1
22,5,2,4,10,0.9969559972171826,0.9823087064273814,0.1
22,5,2,5,10,0.9991118179332313,0.9945784090324605,0.1
22,5,2,5,10,0.9987092264269762,0.9952153516310913,0.1
22,5,3,0,10,0.9807063114659398,0.9145138414892625,0.1
22,5,4,0,10,0.9964348567751146,0.8993935256782248,0.1
22,5,5,0,10,0.9994149603860131,0.8968250243750999,0.1
22,5,6,0,10,0.995166050864058,0.900717807231056,0.1
22,5,6,0,10,0.9998131901504135,0.896442190444002,0.1
22,5,5,0,10,0.9907606999130238,0.9047080530612193,0.1
22,5,5,0,100,0.9967915560694846,0.8991702706364155,0.1
22,5,4,0,100,0.9930832679547011,0.9026826192523383,0.1
22,5,3,0,100,0.9871539733041688,0.9082693981324834,0.1
22,5,2,0,100,0.9731573251959332,0.9216927472428051,0.1
22,5,1,0,100,0.9475348707036324,0.9472696966779748,0.1
22,5,0,0,100,0.8972135954999579,0.9999999999999999,0.1
22,5,6,0,100,0.999185631334991,0.897007496421368,0.1
22,20,0,0,50,0.8972135954999578,0.9999999999999999,0.1
22,20,1,0,50,0.949731401943087,0.9449663382321597,0.1
22,20,2,0,50,0.9749702454290344,0.9199808201926848,0.1
22,20,3,0,50,0.9906629806194103,0.9048660126430804,0.1
22,20,4,0,50,0.995061357955622,0.900787510076171,0.1
22,20,5,0,50,0.9942420644349547,0.9015893030506503,0.1
22,20,6,0,50,0.9976807916055074,0.8983824611868556,0.1
22,5,6,1,50,0.9984279253975423,0.9061585826761452,0.1
22,20,7,0,50,0.9982723057595396,0.8978486438784148,0.1
22,5,1,1,1,0.9839877101065372,0.920402265419707,0.1
22,20,7,0,50,0.9982723057595396,0.8978486438784148,0.1
22,20,1,1,50,0.9519618257247174,0.9515386563304135,0.1
22,20,2,1,50,0.9787536341680954,0.9249060072137,0.1
22,20,3,1,50,0.9900620978714909,0.9139785417965938,0.1
22,20,4,1,50,0.9897294633231836,0.9143554308740229,0.1
22,20,5,1,50,0.9971004421449169,0.907324500226282,0.1
22,20,6,1,50,0.998255366898763,0.9062978965867063,0.1
22,20,1,2,50,0.9620452994610544,0.9643327358714059,0.1
22,20,2,2,50,0.9837479635267441,0.942755901838743,0.1
22,20,3,2,50,0.9933195898174824,0.9333494428191269,0.1
22,1,1,8,100,0.9968374907134926,0.9980270492881258,0.1
22,1,1,9,100,0.9964978859448942,0.9979919739297622,0.1
22,1,1,10,100,0.997685349701299,0.9982750111715933,0.1
22,1,1,0,100,0.9217486294764703,0.9729779768796664,0.1
22,1,2,0,100,0.9375487917316693,0.9567065472397406,0.1
22,1,3,0,100,0.9533872813873384,0.9408947326318731,0.1
22,10,1,0,100,0.9497324644420432,0.9449786681809534,0.1
22,10,2,0,100,0.9752472201177821,0.9196896674336387,0.1
22,10,3,0,100,0.9866020408452572,0.9087702662399255,0.1
22,10,4,0,100,0.993290486170763,0.9024849730272372,0.1
22,10,5,0,100,0.9955727474090625,0.9003926173140766,0.1
22,10,1,2,100,0.9657218284883672,0.9606171762753104,0.1
22,1,1,2,100,0.9440747346918238,0.9823167781119517,0.1
22,10,2,2,100,0.9822930924675382,0.9440708719666548,0.1
22,1,2,2,100,0.9557954450491998,0.9701237802228277,0.1
22,10,3,2,100,0.990727246098701,0.9358725185220333,0.1
22,1,3,2,100,0.9647193999662248,0.9613497861939649,0.1
22,10,4,2,100,0.9962850199345559,0.9305159570108057,0.1
22,1,4,2,100,0.9725358502376983,0.9535541685623438,0.1
22,10,5,2,100,0.9974416306133005,0.9294896675153536,0.1
22,1,5,2,100,0.9823352066374343,0.9439995590709706,0.1
22,10,6,2,100,0.9987217374164896,0.9282875895300773,0.1
22,1,6,2,100,0.9832200613758804,0.9430851588545628,0.1
22,10,1,1,100,0.9567397736345654,0.9464085966200034,0.1
22,1,1,1,100,0.9302717126226039,0.9731459678354198,0.1
22,10,2,1,100,0.9727506918851462,0.9309531340301568,0.1
22,1,2,1,100,0.9437097323684455,0.9593258502010954,0.1
22,10,3,1,100,0.9860212065969909,0.9178922058714784,0.1
22,1,3,1,100,0.9597823246069942,0.9431610841064564,0.1
22,10,4,1,100,0.9945255663609931,0.9096923460521089,0.1
22,1,4,1,100,0.9672951541104626,0.935767682045025,0.1
