total_runtimes,overlap_at_end,estimated_cost_adiabatic_rodeo,estimated_cost_rodeo_only,estimated_cost_adiabatic_rodeo_2,estimated_cost_rodeo_only_2
0.0,0.31951472968764794,0.0,3.129746165310071,0.0,13.810347935084863
1.1111111111111112,0.3440853926785057,5.812510622526452,3.1297461653102614,24.718686364623515,13.810347935086105
2.2222222222222223,0.43736296468989033,6.8592913488391325,3.1297461653102614,25.27855707608563,13.810347935086105
3.3333333333333335,0.56528609934115,7.076062908077987,3.1297461653102614,20.824945854836724,13.810347935086105
4.444444444444445,0.6934593167656188,7.210228313494477,3.1297461653102614,15.460138423807006,13.810347935086105
5.555555555555555,0.7917349882353331,7.57829335466551,3.1297461653102614,10.57422746056767,13.810347935086105
6.666666666666667,0.8530611576361248,8.205742269871191,3.1297461653102614,8.205742269871191,13.810347935086105
7.777777777777779,0.8870341992543556,9.01881799678618,3.1297461653102614,9.01881799678618,13.810347935086105
8.88888888888889,0.9046959334582989,9.948093792791262,3.1297461653102614,9.948093792791262,13.810347935086105
10.0,0.9132897703096917,10.949427361492347,3.1297461653102614,10.949427361492347,13.810347935086105
total_runtimes,overlap_at_end,estimated_cost_adiabatic_rodeo,estimated_cost_rodeo_only,estimated_cost_adiabatic_rodeo_2,estimated_cost_rodeo_only_2
0.0,0.0646181119607008,0.0,15.47553727054384,0.0,111.0752522461304
1.1111111111111112,0.0759788167025462,26.323126455495007,15.47553713232471,182.31884024432276,111.07525104088275
2.2222222222222223,0.12842083534019358,23.360695264540535,15.47553713232471,142.14236730641593,111.07525104088275
3.3333333333333335,0.225719608082382,17.721101121795765,15.47553713232471,90.3820894586622,111.07525104088275
4.444444444444445,0.35582128819006903,14.051997915676003,15.47553713232471,58.71256711004105,111.07525104088275
5.555555555555555,0.4823473153887889,12.439169470993717,15.47553713232471,42.58972867095019,111.07525104088275
6.666666666666667,0.5783461243186672,12.103478705328055,15.47553713232471,34.68922531739207,111.07525104088275
7.777777777777779,0.641528477033516,12.470218059520448,15.47553713232471,30.954489376893086,111.07525104088275
8.88888888888889,0.6798445927206423,13.238319604754475,15.47553713232471,29.594203593318575,111.07525104088275
10.0,0.7013653272941415,14.257904705069857,15.47553713232471,29.801069147173724,111.07525104088275
total_runtimes,overlap_at_end,estimated_cost_adiabatic_rodeo,estimated_cost_rodeo_only,estimated_cost_adiabatic_rodeo_2,estimated_cost_rodeo_only_2
0.0,0.0022596184523072564,0.0,442.55259067251717,0.0,5358.590319145406
1.1111111111111112,0.003168956432581171,631.1225927366141,442.55259634372055,7333.092583812178,5358.59039601478
2.2222222222222223,0.009487986271004228,316.18932767305466,442.5525994530589,3170.7013108906713,5358.590438159784
3.3333333333333335,0.030919923209819983,129.36642736323563,442.5525994530589,1072.698050404737,5358.590438159784
4.444444444444445,0.08072940931137086,61.93529771430821,442.5525994530589,423.0955917421711,5358.590438159784
5.555555555555555,0.15475861565749546,38.77005473659005,442.5525994530589,223.7525224886846,5358.590438159784
6.666666666666667,0.23046924205051617,30.37281651000389,442.5525994530589,153.72693432422423,5358.590438159784
7.777777777777779,0.29166420588637043,27.428802844311733,442.5525994530589,126.22880984886436,5358.590438159784
8.88888888888889,0.3343797196368974,26.915507943403657,442.5525994530589,116.14418860703277,5358.590438159784
10.0,0.36085333280513937,27.712089901633234,442.5525994530589,114.91268523478749,5358.590438159784
total_runtimes,overlap_at_end,estimated_cost_adiabatic_rodeo,estimated_cost_rodeo_only,estimated_cost_adiabatic_rodeo_2,estimated_cost_rodeo_only_2
0.0,2.3432901140499356e-06,0.0,426750.40277948696,0.0,9399159.571203304
1.1111111111111112,4.676472122607936e-06,427672.8156533213,426749.6299463821,8993133.61815004,9399141.434622766
2.2222222222222223,4.3976620167705676e-05,68218.06652169819,426749.6299463821,1213924.693989035,9399141.434622766
3.3333333333333335,0.0004933371508954548,8108.045365607702,426749.6299463821,115996.57235463652,9399141.434622766
4.444444444444445,0.003539181734304288,1412.7559349485823,426749.6299463821,16189.026698943379,9399141.434622766
5.555555555555555,0.01359096451038462,441.46977173073367,426749.6299463821,4195.46133926946,9399141.434622766
6.666666666666667,0.031272686165403,223.83750353188742,426749.6299463821,1852.2651155616538,9399141.434622766
7.777777777777779,0.0515855044887594,155.0823255347482,426749.6299463821,1166.5925537271225,9399141.434622766
8.88888888888889,0.06929547394211016,129.87861238265938,426749.6299463821,918.1662375481891,9399141.434622766
10.0,0.08190071320385964,122.09905883369942,426749.6299463821,831.3273583317693,9399141.434622766
total_runtimes,overlap_at_end,estimated_cost_adiabatic_rodeo,estimated_cost_rodeo_only,estimated_cost_adiabatic_rodeo_2,estimated_cost_rodeo_only_2
0.0,0.8972135954999578,0.0,1.1145618000168245,0.0,1.1145618000168245
0.5128205128205128,0.8972135954999576,1.1145618000168247,1.1145618000168245,1.1145618000168247,1.1145618000168245
1.0256410256410255,0.899578672298869,2.223263024776932,1.1145618000168245,2.223263024776932,1.1145618000168245
1.5384615384615383,0.9193091642572334,2.175546679789626,1.1145618000168245,2.175546679789626,1.1145618000168245
2.051282051282051,0.9251516942253256,3.242711458807894,1.1145618000168245,3.242711458807894,1.1145618000168245
2.564102564102564,0.9458303536956534,3.1718161595026713,1.1145618000168245,3.1718161595026713,1.1145618000168245
3.0769230769230766,0.955837976706559,4.18480966176132,1.1145618000168245,4.18480966176132,1.1145618000168245
3.5897435897435894,0.9722206219814038,4.11429248625474,1.1145618000168245,4.11429248625474,1.1145618000168245
4.102564102564102,0.9813314335054601,5.095118559627979,1.1145618000168245,5.095118559627979,1.1145618000168245
